sample-1-user-id,sample-2-user-id,sample-1-session-id,sample-2-session-id,sample-1-index,sample-2-index,label
2,2,5,3,668,496,1
2,2,1,5,487,680,1
2,2,1,5,420,624,1
2,2,1,5,490,595,1
2,2,5,3,676,566,1
2,2,1,3,473,510,1
2,2,5,1,646,463,1
2,2,1,5,489,626,1
2,2,5,3,644,503,1
2,2,3,1,513,443,1
2,2,3,5,589,626,1
2,2,3,5,524,647,1
2,2,5,1,603,437,1
2,2,3,1,525,449,1
2,2,5,3,654,534,1
2,2,3,5,538,599,1
2,2,1,3,454,522,1
2,2,1,3,491,536,1
2,2,3,1,567,491,1
2,2,1,3,478,551,1
2,2,1,5,409,636,1
2,2,3,1,506,439,1
2,2,3,5,514,675,1
2,2,1,3,431,533,1
2,2,1,3,475,506,1
2,2,5,3,628,507,1
2,2,5,3,657,569,1
2,2,5,1,630,484,1
2,2,3,5,508,641,1
2,2,5,3,603,555,1
2,2,5,1,646,481,1
2,2,1,5,427,616,1
2,2,3,5,581,607,1
2,2,5,3,600,507,1
2,2,1,3,482,588,1
2,2,3,5,549,666,1
2,2,3,5,555,653,1
2,2,3,5,574,682,1
2,2,5,3,677,574,1
2,2,3,5,571,659,1
2,2,3,1,589,404,1
2,2,1,5,422,664,1
2,2,3,5,552,664,1
2,2,3,5,533,663,1
2,2,1,5,440,675,1
2,2,5,1,644,471,1
2,2,1,5,458,651,1
2,2,5,3,663,508,1
2,2,3,1,583,490,1
2,2,5,1,648,450,1
2,2,1,5,472,669,1
2,2,1,5,410,641,1
2,2,3,5,538,644,1
2,2,1,3,466,534,1
2,2,1,3,428,549,1
2,2,3,5,586,677,1
2,2,1,3,451,547,1
2,2,5,3,618,513,1
2,2,5,1,601,404,1
2,2,1,3,437,504,1
2,2,3,1,520,414,1
2,2,1,5,417,627,1
2,2,3,5,553,601,1
2,2,5,3,608,512,1
2,2,5,3,677,529,1
2,2,3,1,506,469,1
2,2,3,5,578,626,1
2,2,3,1,530,405,1
2,2,3,5,593,632,1
2,2,3,1,495,403,1
2,2,1,3,430,522,1
2,2,3,5,541,615,1
2,2,3,5,525,601,1
2,2,1,3,409,583,1
2,2,5,1,621,401,1
2,2,3,5,563,639,1
2,2,1,5,460,615,1
2,2,5,1,637,482,1
2,2,1,5,464,666,1
2,2,1,5,414,685,1
2,2,1,5,419,635,1
2,2,3,1,570,445,1
2,2,5,1,595,478,1
2,2,1,3,467,540,1
2,2,1,5,436,657,1
2,2,1,3,427,521,1
2,2,5,3,650,533,1
2,2,5,3,667,517,1
2,2,3,5,538,613,1
2,2,5,3,647,592,1
2,2,5,1,629,435,1
2,2,3,5,531,608,1
2,2,5,3,607,544,1
2,2,5,3,681,524,1
2,2,1,5,421,683,1
2,2,5,3,622,509,1
2,2,3,1,539,399,1
2,2,5,3,660,531,1
2,2,5,3,612,560,1
2,2,3,1,577,425,1
2,2,3,5,557,596,1
2,2,1,3,459,496,1
2,2,3,1,503,426,1
2,2,3,1,519,492,1
2,2,5,3,662,550,1
2,2,1,5,493,647,1
2,2,3,1,558,426,1
2,2,5,1,640,409,1
2,2,3,1,518,414,1
2,2,3,5,521,651,1
2,2,5,3,690,495,1
2,2,3,5,572,671,1
2,2,5,1,618,482,1
2,2,1,3,456,527,1
2,2,1,5,459,673,1
2,2,1,3,469,567,1
2,2,5,3,601,536,1
2,2,1,5,479,610,1
2,2,5,1,644,475,1
2,2,5,1,672,461,1
2,2,5,3,637,535,1
2,2,3,5,564,682,1
2,2,3,5,542,650,1
2,2,1,5,414,676,1
2,2,1,3,461,521,1
2,2,5,1,611,443,1
2,2,3,5,580,687,1
2,2,3,1,552,490,1
2,2,5,3,641,513,1
2,2,1,3,463,568,1
2,2,3,5,581,685,1
2,2,5,1,642,470,1
2,2,5,1,652,447,1
2,2,1,5,484,639,1
2,2,3,1,577,448,1
2,2,3,1,517,435,1
2,2,5,1,602,449,1
2,2,3,1,538,405,1
2,2,5,3,604,507,1
2,2,1,3,470,548,1
2,2,3,5,536,614,1
2,2,5,3,611,586,1
2,2,5,1,630,398,1
2,2,3,5,583,636,1
2,2,5,1,658,417,1
2,2,3,1,510,452,1
2,2,3,1,575,422,1
2,2,3,1,504,448,1
2,2,1,5,454,627,1
2,2,1,5,432,630,1
2,2,3,1,558,447,1
2,2,1,3,448,521,1
2,2,5,3,619,585,1
2,2,1,5,455,652,1
2,2,5,3,669,513,1
2,2,1,3,415,502,1
2,2,5,3,689,546,1
2,2,1,5,470,664,1
2,2,5,1,651,458,1
2,2,1,5,471,636,1
2,2,3,5,535,625,1
2,2,5,1,599,415,1
2,2,3,5,568,690,1
2,2,5,1,640,420,1
2,2,1,5,465,628,1
2,2,1,5,456,615,1
2,2,5,3,674,501,1
2,2,1,3,428,586,1
2,2,5,1,681,488,1
2,2,1,5,421,629,1
2,2,1,5,488,660,1
2,2,5,3,607,564,1
2,2,1,3,486,572,1
2,2,5,3,681,569,1
2,2,5,3,686,495,1
2,2,3,1,576,457,1
2,2,3,1,509,410,1
2,2,3,1,580,421,1
2,2,5,1,671,468,1
2,2,1,3,412,546,1
2,2,1,5,427,682,1
2,2,1,3,419,573,1
2,2,5,1,690,491,1
2,2,5,1,688,458,1
2,2,1,5,473,685,1
2,2,3,5,526,689,1
2,2,5,3,685,572,1
2,2,3,1,524,408,1
2,2,5,1,668,474,1
2,2,5,3,648,553,1
2,2,5,3,622,576,1
2,2,1,5,402,647,1
2,2,5,1,634,400,1
2,2,1,5,470,669,1
2,2,5,3,680,516,1
2,2,1,3,471,512,1
2,2,1,3,477,496,1
2,2,3,5,573,682,1
2,2,3,5,514,664,1
2,2,3,1,496,400,1
2,2,5,3,650,559,1
2,2,5,3,621,593,1
2,2,5,1,635,447,1
2,2,5,3,653,557,1
2,2,5,1,600,415,1
2,2,3,5,581,689,1
2,2,1,5,491,688,1
2,2,1,3,472,550,1
2,2,3,5,572,657,1
2,2,1,3,433,586,1
2,2,3,5,542,687,1
2,2,3,1,553,434,1
2,2,5,3,622,537,1
2,2,5,3,681,495,1
2,2,3,1,503,410,1
2,2,1,3,403,499,1
2,2,1,5,445,689,1
2,2,1,3,409,559,1
2,2,3,1,523,475,1
2,2,1,3,457,495,1
2,2,3,5,518,614,1
2,2,3,1,590,443,1
2,2,5,1,617,477,1
2,2,3,5,517,643,1
2,2,5,3,601,530,1
2,2,5,1,647,429,1
2,2,5,1,681,458,1
2,2,3,1,504,421,1
2,2,1,3,486,512,1
2,2,5,3,646,555,1
2,2,5,1,629,423,1
2,2,1,5,448,676,1
2,2,1,5,452,653,1
2,2,1,3,439,526,1
2,2,5,1,670,471,1
2,2,5,3,667,581,1
2,2,5,1,611,494,1
2,2,3,5,536,669,1
2,2,3,5,526,636,1
2,2,3,1,541,450,1
2,2,1,3,410,533,1
2,2,3,5,529,676,1
2,2,1,3,457,537,1
2,2,5,1,689,477,1
2,2,5,3,676,511,1
2,2,3,5,577,643,1
2,2,1,3,433,589,1
2,2,5,3,622,531,1
2,2,3,1,589,478,1
2,2,3,5,508,649,1
2,2,3,1,537,489,1
2,2,1,3,438,533,1
2,2,3,5,571,682,1
2,2,5,1,616,470,1
2,2,5,3,650,544,1
2,2,5,1,641,461,1
2,2,1,3,439,518,1
2,2,3,1,580,402,1
2,2,1,3,437,544,1
2,2,1,3,407,540,1
2,2,3,1,510,409,1
2,2,3,1,498,444,1
2,2,1,5,435,599,1
2,2,1,3,414,510,1
2,2,5,1,652,445,1
2,2,1,5,465,663,1
2,2,5,3,692,532,1
2,2,1,5,436,676,1
2,2,3,5,558,654,1
2,2,1,3,434,508,1
2,2,5,1,658,460,1
2,2,5,3,687,592,1
2,2,5,1,611,423,1
2,2,5,3,624,586,1
2,2,5,1,629,484,1
2,2,5,1,611,453,1
2,2,3,1,586,420,1
2,2,5,1,638,479,1
2,2,1,3,454,543,1
2,2,1,3,421,515,1
2,2,5,1,656,436,1
2,2,1,3,489,561,1
2,2,5,3,641,567,1
2,2,1,5,403,605,1
2,2,1,5,473,597,1
2,2,5,3,646,530,1
2,2,5,1,645,403,1
2,2,5,3,665,549,1
2,2,1,3,403,575,1
2,2,5,1,622,492,1
2,2,3,5,527,688,1
2,2,3,5,567,636,1
2,2,3,1,523,429,1
2,2,1,5,400,605,1
2,2,5,3,667,583,1
2,2,3,5,538,654,1
2,2,1,3,477,497,1
2,2,1,3,414,532,1
2,2,1,3,430,564,1
2,2,5,1,614,410,1
2,2,3,5,538,620,1
2,2,3,5,537,621,1
2,2,5,1,623,479,1
2,2,3,1,541,444,1
2,2,1,5,397,684,1
2,2,5,3,668,570,1
2,2,3,5,552,669,1
2,2,5,1,627,469,1
2,2,5,3,615,575,1
2,2,5,3,594,519,1
2,2,1,3,455,539,1
2,2,1,3,414,567,1
2,2,1,3,475,516,1
2,2,1,3,445,576,1
2,2,1,5,462,600,1
2,2,3,5,518,639,1
2,2,5,1,666,414,1
2,2,5,1,615,467,1
2,2,5,1,629,441,1
2,2,1,3,405,503,1
